0027623	The Princess and the Frog	1/31/2020
0011154	The Public Enemy	7/31/2020
0022475	The Sea Inside	7/31/2020
0002499	The Searchers	7/31/2020
0013445	The Secret Garden	8/31/2020
0001506	The Shining	9/30/2020
0004122	The Silence of the Lambs	8/31/2020
0017017	The Sixth Sense	9/30/2020
0028818	The Social Network	12/31/2019
0030199	The Tempest	7/31/2020
0026335	The Time Traveler's Wife	12/31/2019
0015342	The Truman Show	7/31/2020
0023605	The Wind That Shakes the Barley	8/31/2020
0011198	The Wizard of Oz	8/31/2020
0025023	The Women	8/31/2020
0023888	Their Eyes Were Watching God	12/31/2019
0023684	There Will Be Blood	7/31/2020
0022517	Thirteen Days	8/31/2020
0013415	This Boy's Life	12/31/2019
0060580	This Is England	1/31/2020
0014871	This Sporting Life	1/31/2020
0002188	To Kill a Mockingbird	7/31/2020
0014287	Top Hat	7/31/2020
0017810	Traffic	8/31/2020
0024314	Tropic Thunder	1/31/2020
0017812	Two Family House	1/31/2020
0021059	Tyler Perry's Diary of a Mad Black Woman	10/31/2020
0017727	Unbreakable	1/31/2020
0058148	Uncle Drew	1/31/2020
0010419	Unforgiven	7/31/2020
0022074	United 93	8/31/2020
0058055	Unsane	1/31/2020
0058510	Us	9/30/2020
0000507	Vertigo	8/31/2020
0024861	WALL-E	8/31/2020
0002791	Watermelon Man	8/31/2020
0018635	We Were Soldiers	9/30/2019
0011188	West Side Story	1/31/2020
0014744	When Harry Met Sally...	12/31/2019
0012587	Where the Boys Are	8/31/2020
0011192	White Heat	7/31/2020
0029650	Winter's Bone	7/31/2020
0056848	Wonder Woman	9/30/2020
0034586	Zero Dark Thirty	8/31/2020
0004094	Zoot Suit	8/31/2020
